 ,54845
の,16234
に,11075
る,9275
た,8437
は,8293
ー,7945
と,7211
し,6826
を,6753
で,6531
て,6448
い,6416
が,6267
ン,6098
れ,5036
な,4795
年,4262
ス,4206
ル,3909
ト,3317
っ,3267
イ,3088
か,3026
リ,3008
ら,2972
り,2934
あ,2926
さ,2874
も,2788
す,2769
ラ,2701
ア,2655
こ,2655
ッ,2591
e,2436
a,2206
日,2116
ク,2050
う,1914
タ,1879
i,1874
o,1843
よ,1778
シ,1775
ま,1769
ド,1751
月,1690
く,1664
大,1656
s,1592
ロ,1573
t,1517
r,1511
き,1497
ジ,1482
n,1478
フ,1363
レ,1361
本,1319
カ,1313
人,1272
め,1262
ィ,1246
マ,1229
け,1213
そ,1207
テ,1196
中,1189
バ,1168
ム,1152
や,1141
c,1133
学,1131
つ,1128
場,1127
国,1126
お,1116
l,1099
道,1075
行,1050
プ,1025
一,1011
m,1003
グ,997
地,980
オ,978
ん,975
出,962
町,961
え,960
ど,955
コ,953
ナ,934
ウ,933
d,927
ニ,911
デ,905
作,898
生,877
用,867
時,865
メ,864
会,849
合,848
キ,840
ュ,837
市,824
u,811
上,803
後,802
だ,801
間,798
わ,798
チ,794
ャ,784
名,783
者,776
サ,773
部,767
代,759
ズ,749
エ,720
世,713
p,712
ブ,712
物,705
通,703
定,689
子,687
ミ,685
的,672
ち,664
分,664
ダ,663
ハ,659
長,657
東,651
同,647
ェ,645
成,644
高,632
郡,632
事,631
放,629
設,618
送,617
開,615
パ,604
f,599
ビ,589
入,586
h,582
線,581
b,576
発,576
み,571
ボ,569
ポ,552
ネ,547
自,547
体,544
動,539
語,539
県,538
ョ,534
ガ,531
立,530
山,529
戦,527
ヴ,525
w,523
小,523
ば,523
業,520
車,518
家,517
g,516
所,514
び,511
せ,504
田,498
前,496
第,494
内,493
手,491
社,491
主,489
現,485
州,481
ケ,476
下,476
全,475
川,475
西,475
新,473
公,473
方,467
平,465
駅,461
以,460
法,459
目,459
セ,458
モ,456
ベ,452
ツ,451
じ,448
書,446
k,446
v,435
神,432
和,431
数,431
期,425
理,425
関,423
校,420
へ,417
都,417
見,414
ゴ,413
在,411
当,410
登,408
使,408
北,406
画,399
化,395
路,393
教,388
初,386
ァ,386
特,386
三,380
ワ,376
明,375
実,375
海,368
表,367
y,367
最,366
区,366
版,359
度,358
記,355
ず,353
多,352
島,351
