 ,75559
이,7389
다,6884
에,5694
의,5357
는,4871
로,3781
하,3757
을,3498
고,2991
지,2927
가,2897
은,2650
서,2625
한,2511
기,2376
시,2229
사,2085
으,2074
를,2044
리,2004
도,1947
대,1924
스,1718
년,1681
인,1656
e,1645
그,1628
아,1588
자,1579
일,1536
어,1502
있,1482
라,1476
수,1476
들,1435
t,1359
나,1343
전,1336
었,1328
되,1326
부,1305
a,1272
해,1227
정,1193
제,1170
과,1167
국,1120
주,1105
했,1104
r,1057
성,1019
위,959
와,949
상,943
o,940
u,935
장,919
여,914
게,912
동,902
구,899
미,889
s,841
p,838
적,827
우,812
였,808
공,806
원,801
화,798
만,787
조,784
소,764
보,761
선,757
세,751
월,746
중,737
m,721
며,713
트,694
비,691
경,686
마,686
교,674
l,673
i,670
유,655
n,648
신,631
연,628
f,626
모,625
진,620
치,618
문,618
것,615
드,612
학,610
명,605
후,597
된,586
d,579
요,577
계,574
오,572
c,572
재,566
러,547
르,546
용,543
프,529
면,524
등,521
카,515
군,502
작,502
니,501
영,498
던,492
방,492
역,491
무,489
본,488
b,482
데,482
관,481
거,476
당,471
타,470
회,468
터,467
함,466
발,457
차,455
개,442
산,436
안,435
음,430
야,426
반,420
단,420
때,416
간,410
생,409
w,404
루,404
양,403
토,402
식,399
키,395
분,388
포,387
g,383
레,378
출,378
물,375
통,374
민,371
강,370
내,370
남,366
불,366
할,362
노,362
체,358
결,354
바,353
려,351
배,350
파,348
두,348
호,347
실,345
행,342
운,332
임,326
법,326
코,319
현,316
속,313
승,313
크,310
설,302
태,297
종,296
까,290
건,288
래,287
았,284
형,284
표,276
x,273
입,272
않,271
격,270
k,269
히,268
록,267
초,265
북,264
항,262
받,260
독,255
각,252
점,250
h,248
피,247
약,247
력,242
더,242
직,241
또,239
예,237
추,235
권,235
합,234
매,231
천,229
언,225
란,224
티,219
른,217
처,216
버,215
알,213
판,212
람,211
같,210
열,209
번,208
없,206
린,205
달,203
브,202
병,198
말,198
저,197
심,196
금,196
집,196
디,195
업,195
y,193
메,190
활,189
최,184
황,183
목,181
감,181
베,180
립,179
따,177
네,176
향,176
청,174
투,173
림,172
난,171
살,170
질,169
광,168
평,168
너,167
복,167
준,164
쿠,163
쪽,162
절,161
런,160
극,158
а,158
온,157
왕,157
많,157
변,156
근,154
급,153
류,152
v,150
외,150
돌,150
름,149
별,148
특,147
증,147
존,146
철,146
편,146
울,146
총,145
참,144
령,142
순,142
께,140
날,140
랑,140
졌,139
필,139
든,138
올,138
족,135
친,130
쓰,128
박,126
져,126
즈,125
료,125
손,124
테,123
축,121
뒤,120
석,120
술,119
량,119
환,119
망,117
엘,116
규,115
새,114
확,113
품,112
능,112
페,111
워,110
째,108
케,108
봉,106
길,106
송,105
글,105
악,103
김,103
막,103
갈,102
찰,101
험,101
못,101
탄,101
충,100
애,100
ا,99
곳,99
범,97
론,97
플,97
머,97
습,95
채,95
팀,94
패,93
백,93
죽,92
났,92
렸,91
희,91
밀,91
압,91
책,91
창,90
육,90
착,90
쟁,89
탈,89
웨,89
삼,89
쳐,88
랜,88
측,87
н,86
섬,86
클,85
앙,85
담,85
큰,85
곡,83
접,83
츠,82
효,82
느,81
몇,81
혼,80
겨,80
움,79
색,79
찬,78
견,77
슈,77
션,76
완,76
율,76
푸,76
귀,74
침,72
폐,72
о,72
슬,71
협,71
널,70
좌,69
럽,68
블,68
징,68
걸,68
첫,68
틀,67
및,67
싱,66
객,66
획,66
얻,66
헌,66
련,65
먼,64
잡,64
е,63
씨,63
득,63
검,63
팅,62
벨,62
님,61
녀,61
골,61
누,61
엔,61
홍,61
높,61
갔,61
볼,60
암,60
례,59
폴,59
뷔,59
농,59
j,58
왔,58
л,57
커,57
즌,57
덕,57
떨,56
뜻,56
벽,56
궁,55
취,55
폭,55
끌,55
좋,55
칭,55
락,55
퍼,54
잘,54
벌,54
и,54
흥,54
퇴,53
될,53
택,53
럼,53
찾,53
т,53
륙,52
맞,52
끝,51
맡,51
괴,51
므,50
휘,50
핵,50
빌,50
팬,50
갖,50
밖,49
돈,48
묘,48
쇼,48
콘,48
응,48
척,48
념,47
써,47
앞,47
숙,47
р,45
즉,45
뉴,45
х,45
논,44
و,44
풍,44
냈,43
긴,43
늘,43
옥,43
ن,43
몰,43
층,43
잔,43
센,43
억,43
헤,42
떠,42
맹,42
허,42
먹,42
с,41
넘,41
빠,41
윈,41
줄,41
칙,40
д,40
픽,40
액,40
앨,40
붙,40
턴,39
셰,38
밝,38
윤,38
킨,38
렀,38
켜,38
ь,38
쳤,38
빛,37
략,37
얼,37
둘,36
쥐,36
룡,36
둥,36
톤,35
혹,35
궤,35
샤,35
잉,35
듬,35
링,35
у,35
탁,35
к,35
겸,35
갑,34
놓,34
졸,34
죄,34
겐,34
웠,34
잠,33
닌,33
균,33
됐,33
둔,33
콜,33
흐,33
끄,33
탕,33
탐,33
솔,33
캐,33
익,33
곤,32
틸,32
튼,32
슨,32
탑,32
염,32
릭,32
뛰,32
춘,32
맥,32
딩,32
겼,32
