 ,54084
的,9622
年,4412
e,4280
a,3740
r,3169
在,3135
i,2931
一,2918
n,2869
t,2837
人,2805
o,2790
中,2776
是,2583
s,2505
大,2244
有,2031
和,1944
m,1944
l,1842
日,1810
月,1707
f,1569
u,1562
国,1551
為,1530
地,1479
c,1456
以,1410
p,1408
了,1395
为,1348
他,1262
斯,1239
國,1236
d,1219
成,1217
部,1188
h,1150
公,1147
行,1099
於,1066
上,1064
出,1052
不,1047
作,1025
用,1024
其,1018
g,1010
于,1002
名,955
b,934
之,920
學,919
方,914
家,911
英,881
西,866
主,861
生,861
法,859
第,849
分,845
位,833
下,826
市,821
而,807
学,797
到,794
文,793
被,792
由,788
利,775
及,773
後,764
里,761
多,757
本,752
克,752
民,736
平,728
所,725
语,712
德,712
任,712
个,711
同,709
w,703
建,689
前,688
路,686
會,684
最,680
加,679
南,675
北,673
特,673
高,672
自,672
新,670
時,665
可,660
代,656
工,655
子,654
口,653
事,646
x,643
后,624
理,622
村,620
政,616
v,615
会,612
王,608
物,603
y,599
美,599
尔,598
度,595
时,595
面,593
也,593
三,587
表,585
至,582
共,574
期,563
科,558
要,556
因,555
與,555
爾,553
區,547
二,544
得,539
合,535
式,533
k,530
拉,529
海,526
入,524
发,522
此,519
小,518
全,518
程,518
等,517
山,515
能,507
教,507
立,507
通,502
区,500
士,496
個,494
州,489
道,488
使,485
世,484
安,482
定,482
省,481
者,480
但,480
院,476
基,474
天,471
次,468
球,467
化,465
系,462
影,461
长,460
米,459
尼,459
明,454
發,452
比,452
这,448
重,445
星,444
外,441
布,441
台,440
元,427
城,424
馬,419
語,415
十,414
来,413
司,412
性,412
管,407
常,405
並,401
演,400
站,398
亞,398
列,397
都,397
場,396
委,394
正,394
阿,389
力,388
原,387
金,384
量,378
制,378
与,377
來,373
相,373
林,371
長,368
对,368
或,365
机,363
目,358
內,357
設,356
格,352
华,351
员,351
史,348
片,347
治,345
如,345
卡,344
夫,339
巴,339
曾,337
东,336
戰,336
府,335
开,333
提,331
改,330
形,330
賽,329
意,328
水,328
现,327
四,327
电,327
河,326
員,324
間,323
動,321
然,320
首,318
開,318
并,318
起,317
經,317
對,315
心,309
动,308
車,304
該,304
亚,304
保,303
过,298
界,297
始,296
太,295
色,294
社,294
马,293
進,292
港,289
型,288
軍,287
就,286
過,284
线,284
東,284
种,282
j,282
包,282
向,281
已,281
手,278
接,278
总,278
集,277
女,276
體,276
伊,276
現,275
蘭,272
车,272
交,270
展,270
间,268
羅,268
音,267
业,267
内,267
神,265
经,264
塔,263
场,263
官,262
些,261
当,261
研,261
将,260
品,260
縣,260
江,259
達,258
器,256
设,256
该,255
少,255
进,254
身,254
示,253
當,252
將,250
稱,249
隊,246
受,246
牙,245
線,245
機,245
队,243
這,242
回,241
计,241
产,240
朝,240
铁,239
更,239
取,238
業,237
指,236
件,236
各,234
空,234
镇,234
福,234
体,233
反,232
号,231
古,229
務,228
局,226
结,226
造,226
流,226
著,225
座,225
达,225
收,225
族,225
花,225
電,224
校,224
究,224
书,224
們,223
青,223
运,223
字,222
角,222
商,222
直,222
初,221
持,221
非,221
罗,218
洛,217
修,216
密,216
军,215
它,213
火,213
種,211
普,210
五,210
居,210
命,209
县,209
計,207
数,207
光,207
关,206
數,206
称,205
她,204
帝,204
灣,204
标,202
華,202
每,202
關,202
田,202
號,202
組,202
支,202
段,201
括,199
活,198
足,198
己,198
乐,197
土,197
构,197
知,197
吉,196
清,196
导,196
洲,196
又,195
約,195
木,194
门,194
曲,194
万,193
即,193
李,193
往,193
兩,193
两,192
運,190
实,189
近,189
去,189
联,189
很,188
统,188
组,188
版,187
波,187
類,186
未,186
聯,186
維,185
則,185
们,184
我,183
班,182
亦,181
辑,180
只,180
丹,180
雷,179
步,179
约,179
助,177
京,176
街,176
白,175
父,175
属,175
統,175
解,174
總,173
论,173
域,173
案,173
情,172
印,172
放,171
香,171
選,171
結,170
义,169
兰,169
酒,169
完,168
根,168
张,166
越,166
信,166
记,165
认,165
党,164
战,164
無,163
周,163
求,162
恩,162
查,162
打,161
博,161
武,160
言,160
剧,160
广,159
產,159
增,159
屬,158
石,158
再,157
令,157
级,157
说,156
从,156
處,155
育,155
那,154
故,154
推,154
赛,154
参,152
義,152
堂,151
存,151
坡,150
应,150
服,150
技,150
八,150
批,149
七,149
半,149
功,149
容,148
積,148
z,148
率,148
歌,148
置,148
好,147
术,146
傳,146
森,146
職,145
母,145
死,145
限,145
类,144
說,144
團,144
单,144
模,144
先,144
今,144
彈,143
超,143
移,143
且,143
告,143
槍,142
防,142
摩,142
視,142
瓦,141
奖,141
引,141
议,141
納,141
別,140
专,140
射,139
志,139
策,139
師,139
千,139
源,138
师,138
匈,138
希,138
姆,138
纪,137
还,136
諾,136
鐵,136
历,136
室,136
派,135
变,135
男,135
湖,135
勒,135
伯,134
思,134
奇,133
參,133
察,132
劇,132
獲,132
季,132
記,132
选,132
哥,132
投,131
际,131
副,131
資,131
康,130
客,130
阶,130
皇,130
威,130
积,130
盟,130
雄,129
蒂,129
頭,129
除,129
q,129
九,129
從,129
均,128
萬,128
停,128
住,128
连,128
坐,128
点,128
拿,128
获,128
瑞,127
创,127
供,127
迪,126
没,126
份,126
宣,126
馆,126
索,126
具,126
早,126
川,125
勝,125
央,125
落,125
务,124
房,124
图,123
果,123
臺,122
專,122
報,122
六,122
紀,122
例,122
失,122
着,122
另,122
永,121
標,121
莫,121
配,121
游,120
群,120
實,120
際,120
書,119
准,119
处,119
屋,119
像,119
老,118
真,118
登,118
點,118
视,118
蘇,118
門,117
易,117
播,117
调,117
認,117
樂,116
景,116
善,116
需,115
传,115
诺,115
据,114
陆,114
皮,114
弹,113
园,113
切,113
逻,113
票,113
友,112
整,112
评,112
黨,111
據,111
龍,111
店,111
哈,110
辖,110
报,110
宗,110
極,110
百,109
举,109
做,109
致,109
領,109
觀,108
划,108
沙,108
止,108
節,107
畫,107
陳,107
席,107
维,107
争,107
龙,107
離,107
奧,107
島,107
警,106
股,106
深,106
航,106
級,106
富,106
署,105
考,105
纳,105
阳,105
黑,105
留,105
導,105
單,104
張,104
延,104
则,104
泰,104
舉,103
底,103
冠,103
封,103
食,103
俄,103
无,103
依,103
烏,103
算,102
境,102
乡,102
施,102
術,102
給,102
才,101
隆,101
速,101
奥,101
曼,100
章,100
苏,100
製,100
何,100
廣,100
權,100
别,100
岛,100
連,99
親,99
效,99
黄,99
护,99
塞,99
魚,99
托,99
應,99
排,98
擊,98
陸,98
决,98
担,98
構,97
劃,97
仍,97
條,97
佛,97
牡,97
把,97
堡,96
望,96
艾,96
遊,96
負,96
看,96
汉,95
倫,95
判,95
团,95
料,95
给,94
条,94
園,94
油,94
帶,94
附,94
攻,94
备,94
圖,93
强,93
