e ,33177
a ,30890
o ,24997
i ,24199
 d,20162
 s,13783
 a,13592
 c,13543
on,13004
l ,12660
 p,11776
er,11554
 i,10867
di,10534
al,10513
el,10155
re,10135
la,10031
in,10017
co,9886
de,9759
ta,9613
to,9525
ri,9471
en,9467
an,9433
ne,9285
 l,9132
te,9088
at,8745
nt,8664
ra,8650
ll,8627
io,8092
n ,7892
ti,7888
 e,7801
le,7421
ar,7414
st,7267
or,7010
no,6558
li,6524
es,6255
na,6130
si,6065
ia,6002
 n,5950
 m,5936
ro,5767
un,5754
il,5688
ni,5534
tt,5526
ca,5483
it,5418
ic,5337
me,5316
tr,5170
se,5155
 u,5088
 f,4838
 r,4690
ch,4622
ol,4535
 t,4511
pr,4480
pe,4343
ma,4337
ci,4285
da,4151
is,4072
po,3943
zi,3927
so,3875
 g,3763
ss,3751
nd,3665
lo,3594
ve,3573
he,3462
pa,3371
et,3343
do,3324
gi,3272
 v,3187
os,3175
om,3164
ce,3018
as,2928
vi,2896
ie,2878
va,2872
su,2840
mo,2825
am,2784
mi,2736
sa,2714
im,2695
 o,2662
r ,2615
sc,2545
 b,2532
az,2496
rt,2465
qu,2410
pi,2326
fi,2276
eg,2255
iv,2136
ag,2113
ua,2086
nc,2085
tu,2077
lt,2056
è ,2042
 è,2012
ed,1965
gl,1957
ov,1930
ut,1917
ur,1913
 q,1907
ue,1883
em,1862
ec,1856
ot,1840
ge,1837
op,1793
mp,1767
d ,1688
cc,1677
nn,1675
za,1655
ac,1649
ad,1611
av,1604
oc,1563
ir,1513
hi,1504
s ,1504
bi,1489
ng,1477
rs,1428
og,1417
sp,1401
iz,1391
vo,1384
ui,1382
us,1364
à ,1307
ig,1280
ba,1277
ns,1265
gg,1265
nz,1252
id,1251
fo,1244
ga,1240
rr,1230
ei,1223
gr,1218
fe,1205
uo,1200
ul,1196
lu,1191
ap,1190
go,1189
 h,1188
cu,1180
rn,1146
ha,1137
pp,1123
zz,1117
tà,1115
ev,1112
br,1101
fa,1096
be,1090
rm,1090
du,1025
gu,1010
ai,1005
gn,993
rc,990
ea,990
u ,984
ò ,981
fu,980
rd,954
ru,938
t ,889
mb,879
nu,875
iu,865
ab,844
if,841
cr,836
pu,835
um,828
bb,816
ip,815
bo,802
od,791
fr,734
ff,734
rg,695
mu,686
au,669
ib,659
ud,659
uc,647
m ,631
ub,605
up,588
mm,585
ob,574
y ,561
ù ,553
lm,547
bl,535
nf,530
eb,524
ep,519
iù,512
oi,504
af,500
bu,479
eo,477
dr,473
zo,466
ez,464
pl,463
cl,454
lc,414
 j,409
th,405
ug,403
g ,401
 w,401
 k,398
ef,395
rv,390
rl,378
nv,352
ou,343
of,341
k ,329
ì ,319
uz,319
ae,305
gh,294
h ,293
ho,273
ze,262
c ,250
ck,244
sh,239
dd,237
sm,236
sv,228
rz,226
 z,226
sf,225
vv,223
f ,221
x ,214
ke,212
é ,210
fl,206
eu,203
rò,198
ld,197
rb,195
rp,191
ka,185
ja,185
p ,182
wa,178
oo,172
ee,168
ls,168
 x,167
iò,166
ay,166
b ,164
nq,155
lv,153
ii,153
vr,152
ex,150
lb,150
ki,147
tò,146
uf,138
v ,136
ry,134
hé,129
cq,129
w ,127
ko,125
vu,125
sl,125
sq,121
we,119
uò,118
ey,117
ak,116
sì,115
z ,113
oz,112
lg,112
rà,112
wo,110
jo,106
wi,105
ao,102
hu,100
 y,98
oa,96
ts,96
ow,96
ya,94
