a ,11936
ie,11824
 w,10485
 p,9856
e ,8963
ni,8943
i ,7691
o ,7376
w ,7246
st,6592
 s,6522
ow,6438
na,6170
 z,6092
y ,5922
an,5502
ch,5253
po,5224
cz,4975
 n,4949
ze,4867
rz,4698
 d,4579
u ,4569
ro,4524
ra,4524
wa,4369
 o,4298
 k,4260
ta,4204
 m,3994
er,3979
m ,3952
ki,3952
 r,3917
pr,3885
za,3763
mi,3744
wi,3707
ej,3667
od,3649
ko,3628
ia,3592
on,3557
h ,3464
ar,3457
 t,3391
zy,3352
 i,3347
en,3288
ał,3234
do,3218
sk,3137
ac,3136
li,3078
or,3044
z ,3032
ny,3024
eg,3013
sz,2958
go,2918
ne,2869
dz,2841
os,2838
ka,2829
 b,2759
ł ,2732
to,2732
wy,2724
in,2714
yc,2713
j ,2676
 j,2662
ci,2596
 a,2580
je,2548
no,2528
si,2489
re,2485
al,2482
te,2469
ic,2458
ła,2364
 c,2331
le,2304
ą ,2296
em,2293
es,2274
at,2258
zi,2207
tr,2204
ę ,2188
wo,2168
ol,2077
 l,2038
 g,2013
ad,1979
ów,1973
ty,1962
ię,1943
ku,1886
la,1867
is,1846
zo,1839
as,1820
 u,1808
ma,1791
ok,1785
ak,1771
ym,1760
zn,1746
ec,1727
ed,1688
we,1684
el,1659
aj,1624
t ,1622
am,1606
da,1591
cj,1547
ry,1532
pi,1521
ce,1476
ja,1460
ek,1433
d ,1432
aw,1429
n ,1423
ło,1414
pa,1400
k ,1388
io,1348
ob,1308
ws,1285
dn,1264
az,1259
nt,1255
mo,1236
om,1232
kt,1214
ys,1209
me,1187
 f,1182
gr,1180
ąc,1179
tu,1176
ru,1165
de,1152
ez,1149
oc,1148
ją,1143
cy,1142
s ,1138
by,1124
im,1120
bi,1118
ik,1089
ur,1089
oś,1079
ot,1068
r ,1066
ć ,1060
tw,1042
sp,1038
ył,1034
ji,1032
lo,1031
sa,1025
oz,1021
op,1015
ri,1003
us,989
kr,971
ln,966
 e,965
śc,962
yn,933
ud,933
et,927
ii,903
dy,903
ca,871
wn,870
un,869
so,865
fi,861
ór,851
js,835
ró,834
se,827
oj,820
ły,810
tó,801
rs,795
lu,792
ho,791
gi,787
ew,785
yk,784
bu,769
yw,763
il,758
ga,757
du,748
 h,746
it,740
nd,740
ił,738
iu,720
ha,718
oł,717
ią,705
og,702
że,699
bo,692
sy,690
br,689
ut,689
zw,689
łu,682
rw,680
mu,675
ba,668
uk,663
rt,655
ży,655
dr,651
zk,648
pe,646
nk,646
rn,641
co,640
uj,639
sc,637
jn,625
zą,623
c ,603
 ś,590
nc,587
ul,582
ls,578
ap,577
au,575
ńs,573
yt,563
tn,563
um,555
tk,554
rc,554
eż,553
uc,542
be,535
ck,532
pu,531
ks,529
ge,527
yj,518
nn,516
l ,515
ag,500
sł,500
 ż,497
ng,492
pó,483
di,482
ną,470
iz,470
ns,469
jo,468
ję,463
id,458
yd,457
ań,453
ab,452
su,452
zu,449
ż ,449
iw,446
oż,440
eś,433
ug,430
rm,417
hi,415
ep,415
he,410
ść,409
ub,408
zę,408
rd,408
tę,407
zc,404
ęd,389
zt,388
wc,387
uż,386
św,382
ju,379
ół,377
dw,373
g ,366
up,364
kó,362
ti,362
wó,360
gu,354
rk,351
dl,351
zd,350
dł,347
gł,342
fo,339
ęp,338
eb,335
bl,335
aż,332
ńc,332
kc,328
nu,327
yp,327
rg,324
mp,324
my,323
kl,320
pl,316
zł,311
ką,309
eu,309
dc,307
fr,304
ęt,300
lk,299
wr,295
wł,292
of,291
b ,288
yb,287
ać,286
oń,283
ir,282
żo,281
p ,281
ód,279
yl,278
pn,278
gd,277
ig,269
zb,268
ąd,268
zm,265
ń ,264
kł,259
żn,259
ęc,258
eń,256
ąz,254
zp,252
fe,250
wą,249
yg,241
łó,240
ll,239
ża,236
ea,233
zj,233
cu,232
kw,231
fa,231
łn,230
 v,228
af,227
ds,227
łe,226
śn,225
ąt,223
uz,223
ai,223
śl,218
rę,215
sj,214
ij,214
dk,212
 ł,209
gm,209
eł,208
gó,207
łą,206
eo,202
źn,201
ęk,197
cn,196
có,195
pł,195
śr,194
ei,193
gl,189
kż,189
sw,187
są,186
th,186
uł,185
wz,184
ól,181
hr,181
tą,177
zg,176
vi,176
rb,175
yr,175
mn,168
x ,166
wę,166
yż,164
sn,163
hn,162
łk,162
jd,161
só,159
rą,157
bs,157
nę,156
ip,156
ef,155
ou,155
gn,154
oa,153
ął,152
f ,152
ve,152
ś ,151
dp,150
yz,148
wk,148
aś,145
ęs,142
óź,142
 x,140
mó,140
va,140
ęz,140
ęś,140
ke,139
rp,139
pc,138
lm,138
kę,138
iv,136
jm,135
mw,135
cą,134
ió,134
py,129
nó,128
v ,126
mb,125
tt,123
yć,122
ct,121
ób,120
ęg,120
hu,120
sh,119
bn,119
fu,119
ój,118
óc,118
lt,118
ić,116
oi,116
lę,116
dd,115
ąg,115
rr,115
ss,113
iż,113
rl,112
sm,112
db,111
dm,110
lc,109
lą,109
dó,109
zs,108
zr,108
iń,107
nf,107
